episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_throughput,info/train_throughput,info/num_weight_syncs,info/num_samples_dropped,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
7.0,0.0,3.8059299191374665,70.43126684636118,371,69735,False,1408833,9170,21,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-15-12,1585127712,35.755125761032104,1013.2864561080933,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1013.2864561080933,1408833,21,16,aed56662,0,41.67083376046596,14.441732181280766,5.773221914289336,0.0,0.4,9,4795392,1408833,0.0,0.0,3163,3797,75.56875,53.60208333333333,0.1985416666666667,0.02491040992920199,1060945,0.26,0.482078831727758,"[0.0, 0.0, 0.0, 1.0, 2.0]",39.949,123.88,99.804,347359,1188352,988753841,347359
8.0,0.0,3.74585635359116,67.99723756906077,362,67746,False,1476579,9532,22,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-15-47,1585127747,34.74549436569214,1048.0319504737854,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1048.0319504737854,1476579,22,16,aed56662,0,41.70295953741689,14.424676675626941,5.780041700741735,0.0,0.4,10,5036544,1476579,0.0,0.0,3313,3797,78.45,54.17173913043479,0.1832608695652174,0.02491040992920198,1061416,0.3,0.49999999999999994,"[0.0, 0.0, 0.0, 1.0, 2.0]",42.938,127.661,91.836,366211,1247744,1043278489,366211
7.0,0.0,3.7198952879581153,68.7565445026178,382,70510,False,1547089,9914,23,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-16-23,1585127783,35.99141979217529,1084.0233702659607,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1084.0233702659607,1547089,23,16,aed56662,0,41.7061466424819,14.389680460925938,5.779299897530888,0.0,0.4,10,5275648,1547089,0.0,0.0,3473,3797,75.18124999999999,54.74166666666665,0.1829166666666667,0.02491040992920199,1061883,0.14,0.3469870314579494,"[0.0, 0.0, 0.0, 1.0, 1.0]",45.125,135.462,104.515,383046,1307136,1092274006,383046
8.0,0.0,3.845549738219895,69.03664921465969,382,70106,False,1617195,10296,24,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-16-59,1585127819,35.75223755836487,1119.7756078243256,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1119.7756078243256,1617195,24,16,aed56662,0,41.68888667916722,14.352272492786266,5.7772872408981035,0.0,0.4,11,5512192,1617195,0.0,0.0,3631,3797,75.54583333333333,55.333333333333336,0.21083333333333334,0.02491040992920199,1062345,0.28,0.4915282290977803,"[0.0, 0.0, 0.0, 1.0, 2.0]",44.816,130.726,97.287,398261,1367040,1136679339,398261
8.0,0.0,3.8093994778067883,69.27676240208878,383,70521,False,1687716,10679,25,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-17-35,1585127855,35.763280153274536,1155.5388879776,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1155.5388879776,1687716,25,16,aed56662,0,41.69359437964466,14.320841866914611,5.77405692319375,0.0,0.4,11,5751296,1687716,0.0,0.0,3794,3797,76.89361702127658,55.87234042553192,0.19148936170212766,0.02491040992920198,1062812,0.24,0.47159304490206383,"[0.0, 0.0, 0.0, 1.0, 2.0]",43.296,141.723,96.201,415902,1426432,1188233918,415902
8.0,0.0,3.906005221932115,68.28198433420366,383,70131,False,1757847,11062,26,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-18-10,1585127890,35.546637535095215,1191.0855255126953,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1191.0855255126953,1757847,26,16,aed56662,0,41.67571096125916,14.284322684880529,5.766237179479136,0.0,0.4,11,5989888,1757847,0.0,0.0,3951,3797,76.9468085106383,56.470212765957434,0.19936170212765955,0.02491040992920198,1063278,0.56,0.7525955088890712,"[0.0, 0.0, 0.0, 2.0, 3.0]",44.25,141.698,89.574,434741,1485312,1242705807,434741
7.0,0.0,3.860103626943005,68.53626943005182,386,70139,False,1827986,11448,27,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-18-46,1585127926,35.90390586853027,1226.9894313812256,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1226.9894313812256,1827986,27,16,aed56662,0,41.701270286311406,14.250433820661627,5.763366034813646,0.0,0.4,12,6230016,1827986,9404.374,24075.199,4112,3797,75.24166666666667,57.083333333333336,0.15270833333333333,0.02491040992920199,1063747,0.22,0.41424630354415964,"[0.0, 0.0, 0.0, 1.0, 1.0]",40.459,131.264,87.623,452774,1544704,1295077086,452774
8.0,0.0,3.6954022988505746,69.69540229885058,348,67326,False,1895312,11796,28,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-19-22,1585127962,35.389076948165894,1262.3785083293915,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1262.3785083293915,1895312,28,16,aed56662,0,41.81257576721121,14.263161618023787,5.775313198264554,0.0,0.4,12,6469120,1895312,0.0,0.0,4266,3797,76.81702127659575,57.61914893617023,0.22106382978723405,0.02491040992920198,1064214,0.24,0.4270831300812525,"[0.0, 0.0, 0.0, 1.0, 1.0]",44.498,136.508,90.802,469601,1604608,1344201863,469601
8.0,0.0,3.778364116094987,69.42744063324538,379,70548,False,1965860,12175,29,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-19-58,1585127998,36.34255242347717,1298.7210607528687,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1298.7210607528687,1965860,29,16,aed56662,0,41.82863611323693,14.238131278223559,5.7722279270617065,0.0,0.4,13,6702080,1965860,7356.492,18832.62,4429,3797,74.35510204081632,58.17346938775511,0.21326530612244896,0.02491040992920199,1064669,0.26,0.482078831727758,"[0.0, 0.0, 0.0, 1.0, 2.0]",45.287,129.13,100.833,484838,1662464,1388032398,484838
8.0,0.0,3.8047493403693933,68.61477572559367,379,69738,False,2035598,12554,30,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-20-33,1585128033,35.36132788658142,1334.08238863945,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1334.08238863945,2035598,30,16,aed56662,0,41.809070654146694,14.204753989398007,5.7657965971608665,0.0,0.4,13,6939648,2035598,0.0,0.0,4584,3797,77.11276595744681,58.54042553191488,0.2072340425531915,0.02491040992920198,1065135,0.42,0.5688585061331157,"[0.0, 0.0, 0.0, 1.0, 2.0]",45.023,134.109,94.989,500438,1722368,1432164016,500000
7.0,0.0,3.9140625,68.83854166666667,384,70122,False,2105720,12938,31,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-21-09,1585128069,35.75957417488098,1369.841962814331,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1369.841962814331,2105720,31,16,aed56662,0,41.81892930476962,14.180122851250303,5.764241414030633,0.0,0.4,14,7178240,2105720,0.0,116654.009,4740,3797,76.70212765957447,58.96808510638298,0.18042553191489363,0.02491040992920198,1065599,0.12,0.3249615361854384,"[0.0, 0.0, 0.0, 1.0, 1.0]",41.292,129.898,97.531,520075,1780736,1432164016,500000
7.0,0.0,3.7539267015706805,68.14659685863874,382,70146,False,2175866,13320,32,a0ae5d6ef95e47d391760f7c9f162052,2020-03-25_09-21-45,1585128105,35.62754249572754,1405.4695053100586,1529,ray-apex-gpu-head-540c03d7,10.128.0.9,1405.4695053100586,2175866,32,16,aed56662,0,41.79965591915649,14.153985952617823,5.761652323145234,0.0,0.4,14,7414784,2175866,0.0,0.0,4902,3797,75.48125,59.041666666666664,0.185625,0.02491040992920199,1066061,0.18,0.4331281565541544,"[0.0, 0.0, 0.0, 1.0, 2.0]",43.869,122.283,93.511,535293,1840128,1432164016,500000
