episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/hand_inference_loss
6.0,0.0,3.5673758865248226,70.92198581560284,141,10000,False,210028,3581,21,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-40-49,1584132049,118.86611819267273,2281.790412425995,2284,carl-1070,192.168.0.3,2281.790412425995,210028,21,0,98097f46,0_aux_loss_formula=0.01,3.3315973651647997,0.42897270549830246,2.3598697930721992,0.020000000000000018,0.020000000000000018,417,1631168,210028,27.142,6.41,9.337,0.002,3427.323,32.0,94.24183006535948,42.09411764705882,0.31477124183006533,0.2807840238115947,2.499999936844688e-05,1.1376532,0.13374145,0.15896554,2.6561503
6.0,0.0,3.4825174825174825,70.18881118881119,143,10001,False,220029,3724,22,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-42-51,1584132171,121.90084862709045,2403.6912610530853,2284,carl-1070,192.168.0.3,2403.6912610530853,220029,22,0,98097f46,0_aux_loss_formula=0.01,3.3480792485019495,0.43064752622173036,2.3733330511502553,0.020000000000000018,0.020000000000000018,437,1709472,220029,27.263,5.497,14.637,0.005,2186.224,32.0,94.12038216560508,42.0624203821656,0.32949044585987264,0.280698188370538,2.499999936844688e-05,1.1632955,0.13642067,0.1604901,2.5433626
7.0,0.0,3.3680555555555554,69.49305555555556,144,10003,False,230032,3868,23,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-44-56,1584132296,124.34135007858276,2528.032611131668,2284,carl-1070,192.168.0.3,2528.032611131668,230032,23,0,98097f46,0_aux_loss_formula=0.01,3.3681653168580823,0.4323556179457957,2.3884127997761695,0.020000000000000018,0.020000000000000018,457,1787936,230032,33.095,7.796,14.777,0.003,2165.591,32.0,94.4805031446541,41.997484276729566,0.3369811320754717,0.28054142605180854,2.499999936844688e-05,1.1853485,0.13680655,0.16150598,2.6067493
6.0,0.0,3.295774647887324,70.49295774647888,142,10002,False,240034,4010,24,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-46-50,1584132410,114.03864336013794,2642.071254491806,2284,carl-1070,192.168.0.3,2642.071254491806,240034,24,0,98097f46,0_aux_loss_formula=0.01,3.374343117285073,0.43310840094552067,2.3903310612291153,0.020000000000000018,0.020000000000000018,477,1866272,240034,28.683,5.709,10.593,0.002,3020.813,32.0,93.91360544217686,42.167346938775516,0.34265306122448985,0.280673432507552,2.499999936844688e-05,1.2257034,0.13957985,0.16416138,2.5977325
7.0,0.0,3.6950354609929077,70.62411347517731,141,10002,False,250036,4151,25,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-48-35,1584132515,105.89952230453491,2747.970776796341,2284,carl-1070,192.168.0.3,2747.970776796341,250036,25,0,98097f46,0_aux_loss_formula=0.01,3.369980707223501,0.4312442886488016,2.3855651241171896,0.020000000000000018,0.020000000000000018,497,1944512,250036,24.552,9.277,11.423,0.002,2801.45,32.0,93.32536231884059,41.97826086956521,0.37101449275362314,0.2793140763280262,2.499999936844688e-05,1.1492254,0.13028911,0.15466292,2.5676703
6.0,0.0,3.5833333333333335,69.6875,144,10003,False,260039,4295,26,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-50-19,1584132619,103.36717009544373,2851.3379468917847,2284,carl-1070,192.168.0.3,2851.3379468917847,260039,26,0,98097f46,0_aux_loss_formula=0.01,3.3618698328497243,0.4293923716434112,2.38070438264852,0.020000000000000018,0.020000000000000018,517,2022720,260039,30.04,6.408,10.544,0.002,3035.014,32.0,93.17388059701491,42.308208955223876,0.3762686567164179,0.28139735036007746,2.499999936844688e-05,1.2166898,0.13314146,0.15737739,2.5567348
7.0,0.0,3.3636363636363638,69.67832167832168,143,10000,False,270039,4438,27,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-52-06,1584132726,107.42067241668701,2958.7586193084717,2284,carl-1070,192.168.0.3,2958.7586193084717,270039,27,0,98097f46,0_aux_loss_formula=0.01,3.3601097249707683,0.42872613012166705,2.3776711163296724,0.020000000000000018,0.020000000000000018,537,2100928,270039,23.928,5.383,12.087,0.005,2647.491,32.0,93.47071428571428,42.07214285714286,0.3667142857142857,0.28008167288601005,2.499999936844688e-05,1.1840193,0.13550743,0.16005355,2.590118
7.0,0.0,3.6056338028169015,70.76760563380282,142,10001,False,280040,4580,28,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-53-55,1584132835,108.57309007644653,3067.331709384918,2284,carl-1070,192.168.0.3,3067.331709384918,280040,28,0,98097f46,0_aux_loss_formula=0.01,3.3597361741623994,0.4282846853805973,2.3765221751719903,0.020000000000000018,0.020000000000000018,557,2179168,280040,20.765,4.816,11.573,0.002,2764.999,32.0,93.68642857142856,42.11,0.34785714285714286,0.280184644089277,2.499999936844688e-05,1.3174205,0.15199079,0.17743722,2.6966333
6.0,0.0,3.5428571428571427,71.36428571428571,140,10003,False,290043,4720,29,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-55-42,1584132942,106.76276636123657,3174.094475746155,2284,carl-1070,192.168.0.3,3174.094475746155,290043,29,0,98097f46,0_aux_loss_formula=0.01,3.357668787092713,0.4274138639113691,2.3737137139949334,0.020000000000000018,0.020000000000000018,577,2257440,290043,31.97,9.584,14.339,0.002,2231.706,32.0,93.3568345323741,42.19352517985611,0.3436690647482014,0.28058972240640206,2.499999936844688e-05,1.1242648,0.13434021,0.15909198,2.6095176
7.0,0.0,3.446043165467626,71.90647482014388,139,10003,False,300046,4859,30,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-57-29,1584133049,106.81777453422546,3280.9122502803802,2284,carl-1070,192.168.0.3,3280.9122502803802,300046,30,0,98097f46,0_aux_loss_formula=0.01,3.3558612560316083,0.42708093216967086,2.3709027502183577,0.020000000000000018,0.020000000000000018,596,2335584,300046,27.338,5.958,10.04,0.002,3187.222,32.0,93.55395683453237,41.84604316546762,0.36467625899280576,0.28152224400863735,2.499999936844688e-05,1.2216058,0.14482811,0.16994497,2.6565137
