episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,perf/gpu_util_percent3,perf/vram_util_percent3,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/hand_inference_loss
15.0,0.0,7.966666666666667,66.60666666666667,150,10003,False,19473154,289903,1947,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_16-49-21,1581176961,94.97265696525574,186312.06865167618,28680,diufpc29,134.21.215.107,186312.06865167618,19473154,1947,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.8502176001119954,0.33738903226366,1.8162853998500408,0.020000000000000018,0.020000000000000018,38744,152312096,19473154,22.521,4.943,9.064,0.004,3530.373,32.0,49.02903225806452,22.08790322580645,0.390725806451613,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5499193548387097,0.42665352875969936,2.499999936844688e-05,1.8264391,0.14080228,2.2110224,2.114186
14.0,0.0,7.557046979865772,67.03355704697987,149,10000,False,19483154,290052,1948,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_16-50-56,1581177056,95.01856279373169,186407.0872144699,28680,diufpc29,134.21.215.107,186407.0872144699,19483154,1948,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.850197411634483,0.33738619774910056,1.8162751900646603,0.020000000000000018,0.020000000000000018,38764,152390144,19483154,20.318,5.83,12.272,0.006,2607.607,32.0,49.126400000000004,22.088799999999996,0.40423999999999993,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5359199999999998,0.42665352875969936,2.499999936844688e-05,1.8610649,0.13852072,2.0964348,1.9984478
15.0,0.0,7.6891891891891895,67.70945945945945,148,10001,False,19493155,290200,1949,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_16-52-31,1581177151,94.75278306007385,186501.83999752998,28680,diufpc29,134.21.215.107,186501.83999752998,19493155,1949,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.8501781053709547,0.33738515618056586,1.8162735922468634,0.020000000000000018,0.020000000000000018,38784,152468512,19493155,24.544,6.137,12.587,0.005,2542.315,32.0,49.013709677419364,22.12903225806452,0.38814516129032256,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5386290322580645,0.42665352875969936,2.499999936844688e-05,1.7276475,0.13507706,2.1395504,2.0450954
15.0,0.0,7.825503355704698,66.90604026845638,149,10001,False,19503156,290349,1950,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_16-54-06,1581177246,95.33607125282288,186597.1760687828,28680,diufpc29,134.21.215.107,186597.1760687828,19503156,1950,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.850176390211399,0.33738631679512004,1.8162796516214887,0.020000000000000018,0.020000000000000018,38804,152546624,19503156,23.073,5.62,11.609,0.004,2756.458,32.0,49.256800000000005,22.141600000000004,0.43983999999999995,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5436,0.42665352875969936,2.499999936844688e-05,1.7876749,0.13744172,2.189583,2.0946174
15.0,0.0,8.165562913907285,66.40397350993378,151,10003,False,19513159,290500,1951,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_16-55-41,1581177341,94.70128512382507,186691.87735390663,28680,diufpc29,134.21.215.107,186691.87735390663,19513159,1951,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.850153238683196,0.33738467418409096,1.816270614136488,0.020000000000000018,0.020000000000000018,38823,152624992,19513159,20.302,5.101,9.844,0.005,3250.548,32.0,48.94596774193548,22.08225806451613,0.4408870967741935,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5438709677419356,0.42665352875969936,2.499999936844688e-05,1.8173423,0.14095084,2.045928,1.9448576
14.0,0.0,8.08,66.59333333333333,150,10001,False,19523160,290650,1952,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_16-57-16,1581177436,94.9188141822815,186786.7961680889,28680,diufpc29,134.21.215.107,186786.7961680889,19523160,1952,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.850146348627256,0.3373839067157393,1.8162664440139171,0.020000000000000018,0.020000000000000018,38843,152703232,19523160,21.265,5.673,10.719,0.004,2985.416,32.0,48.98629032258064,22.18064516129032,0.39580645161290323,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5454032258064517,0.42665352875969936,2.499999936844688e-05,1.8819736,0.15049566,2.2808182,2.178863
15.0,0.0,8.486486486486486,67.77027027027027,148,10005,False,19533165,290798,1953,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_16-58-51,1581177531,94.96728825569153,186881.7634563446,28680,diufpc29,134.21.215.107,186881.7634563446,19533165,1953,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.8501404556132326,0.3373807896768396,1.816262109697177,0.020000000000000018,0.020000000000000018,38863,152781408,19533165,21.293,6.727,10.726,0.005,2983.505,32.0,49.09120000000001,22.228799999999993,0.39527999999999996,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5395200000000001,0.42665352875969936,2.499999936844688e-05,1.881298,0.14049557,2.193927,2.0969043
14.0,0.0,8.006711409395972,66.96644295302013,149,10003,False,19543168,290947,1954,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_17-00-26,1581177626,94.80910587310791,186976.5725622177,28680,diufpc29,134.21.215.107,186976.5725622177,19543168,1954,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.850126893917399,0.33737727520317323,1.8162522945330193,0.020000000000000018,0.020000000000000018,38883,152859616,19543168,21.847,5.726,10.428,0.004,3068.802,32.0,49.037096774193536,22.18790322580644,0.4074193548387097,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5458870967741934,0.42665352875969936,2.499999936844688e-05,1.958072,0.15356803,2.4021747,2.3009355
15.0,0.0,8.243421052631579,65.73684210526316,152,10000,False,19553168,291099,1955,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_17-02-01,1581177721,95.24467468261719,187071.81723690033,28680,diufpc29,134.21.215.107,187071.81723690033,19553168,1955,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.8501292316826765,0.3373758747297985,1.8162399291317557,0.020000000000000018,0.020000000000000018,38903,152937760,19553168,25.647,5.971,11.592,0.004,2760.619,32.0,48.94800000000001,22.109599999999993,0.39679999999999993,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5390400000000001,0.42665352875969936,2.499999936844688e-05,1.7490454,0.13977501,2.1043541,2.0056577
14.0,0.0,8.172185430463577,66.19205298013244,151,10003,False,19563171,291250,1956,fbb3581637904fe3b44bbef2a13a54e3,2020-02-08_17-03-36,1581177816,95.19817924499512,187167.01541614532,28680,diufpc29,134.21.215.107,187167.01541614532,19563171,1956,0,af75cdbe,0_custom_model=Hanabi_HandInference_independent_loss,2.8501236121901568,0.33737531575602636,1.8162198466795985,0.020000000000000018,0.020000000000000018,38923,153015968,19563171,19.121,5.749,13.004,0.007,2460.81,32.0,49.12319999999999,22.145599999999998,0.4052,0.981766662560059,0.0,0.014164305949008495,0.0,0.014164305949008495,0.5384800000000002,0.42665352875969936,2.499999936844688e-05,1.903913,0.15827519,2.2756488,2.168159
